Province,City_District,Region_Type,Industry_Type,User_Type,Age_Group,Gender,Year_Month,User_Count,Transaction_Count,Transaction_Amount
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,30s,F,2018-12,2667,8946,175275932
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,30s,M,2018-12,4522,15748,240466187
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,Under_20,F,2018-12,139,455,2052150
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,Under_20,M,2018-12,200,799,4063460
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,20s,F,2018-12,1653,4746,52189720
Jeju-do,Jeju-si,Rural,Shopping,Jeju_Resident,20s,M,2018-12,2574,9303,92025830
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,60s_and_above,F,2018-12,861,2059,52438060
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,60s_and_above,M,2018-12,1489,3762,77651290
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,50s,F,2018-12,1850,3913,75992540
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,50s,M,2018-12,3388,7895,145519930
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,40s,F,2018-12,2593,5300,99499290
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,40s,M,2018-12,4618,11726,193623523
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,30s,F,2018-12,3689,6698,108961860
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,30s,M,2018-12,5290,11327,158404000
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,Under_20,F,2018-12,90,155,1398450
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,Under_20,M,2018-12,110,256,3069910
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,20s,F,2018-12,4314,7380,78250520
Jeju-do,Jeju-si,Rural,Shopping,Domestic_Tourist,20s,M,2018-12,4298,8487,88237800
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,60s_and_above,F,2018-12,352,499,45362418
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,60s_and_above,M,2018-12,455,674,54944468
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,50s,F,2018-12,551,814,91455900
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,50s,M,2018-12,793,1136,87242050
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,40s,F,2018-12,605,908,52214818
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,40s,M,2018-12,876,1421,85809709
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,30s,F,2018-12,415,559,19368472
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,30s,M,2018-12,549,800,30633549
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,Under_20,F,2018-12,21,22,460100
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,Under_20,M,2018-12,17,19,891350
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,20s,F,2018-12,253,316,7277936
Jeju-do,Jeju-si,Rural,Retail,Jeju_Resident,20s,M,2018-12,309,455,11192127
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,60s_and_above,F,2018-12,364,431,25605260
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,60s_and_above,M,2018-12,449,543,29258380
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,50s,F,2018-12,821,1011,42650004
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,50s,M,2018-12,894,1095,46510728
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,40s,F,2018-12,878,1055,33348670
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,40s,M,2018-12,966,1233,39875744
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,30s,F,2018-12,1288,1496,41784812
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,30s,M,2018-12,1173,1435,45362981
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,Under_20,F,2018-12,59,69,1313330
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,Under_20,M,2018-12,39,52,911950
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,20s,F,2018-12,1982,2235,49819370
Jeju-do,Jeju-si,Rural,Retail,Domestic_Tourist,20s,M,2018-12,906,1033,25949630
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,60s_and_above,F,2018-12,132,184,14549585
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,60s_and_above,M,2018-12,456,657,59904433
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,50s,F,2018-12,362,471,42665895
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,50s,M,2018-12,1123,1475,134603945
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,40s,F,2018-12,505,684,53684750
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,40s,M,2018-12,1075,1452,104342197
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,30s,F,2018-12,498,677,17751410
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,30s,M,2018-12,529,756,30211280
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,Under_20,F,2018-12,17,26,241900
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,Under_20,M,2018-12,39,139,918590
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,20s,F,2018-12,169,243,3532100
Jeju-do,Jeju-si,Rural,Culture_Leisure,Jeju_Resident,20s,M,2018-12,224,698,7486110
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,60s_and_above,F,2018-12,329,427,33559556
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,60s_and_above,M,2018-12,798,1143,145922497
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,50s,F,2018-12,825,1018,58400300
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,50s,M,2018-12,1630,2052,205865840
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,40s,F,2018-12,1083,1400,57508545
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,40s,M,2018-12,1578,2006,122473935
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,30s,F,2018-12,1159,1441,44757300
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,30s,M,2018-12,1165,1445,48655890
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,Under_20,F,2018-12,31,33,629900
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,Under_20,M,2018-12,31,34,727700
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,20s,F,2018-12,969,1114,18900235
Jeju-do,Jeju-si,Rural,Culture_Leisure,Domestic_Tourist,20s,M,2018-12,716,967,17121310
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,60s_and_above,F,2018-12,1281,2355,219347989
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,60s_and_above,M,2018-12,4168,9866,921060041
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,50s,F,2018-12,1378,2288,170954860
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,50s,M,2018-12,3031,6292,531541227
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,40s,F,2018-12,1346,2182,150404194
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,40s,M,2018-12,2543,4746,401682962
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,30s,F,2018-12,917,1395,79875110
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,30s,M,2018-12,1321,2189,127771280
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,Under_20,F,2018-12,4,7,256358
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,Under_20,M,2018-12,11,13,556617
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,20s,F,2018-12,300,409,19972931
Jeju-do,Jeju-si,Rural,Transportation,Jeju_Resident,20s,M,2018-12,469,738,33131050
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,60s_and_above,F,2018-12,451,559,28560555
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,60s_and_above,M,2018-12,1181,1467,85914244
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,50s,F,2018-12,1129,1420,70322221
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,50s,M,2018-12,2610,3239,187875865
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,40s,F,2018-12,1337,1680,73711183
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,40s,M,2018-12,2857,3627,197872983
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,30s,F,2018-12,1562,1890,63559241
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,30s,M,2018-12,2864,3384,142231817
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,Under_20,F,2018-12,14,17,392900
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,Under_20,M,2018-12,25,29,705703
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,20s,F,2018-12,1719,2009,50911641
Jeju-do,Jeju-si,Rural,Transportation,Domestic_Tourist,20s,M,2018-12,1695,1942,68591961
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,60s_and_above,F,2018-12,294,378,43409110
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,60s_and_above,M,2018-12,1252,1843,236672289
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,50s,F,2018-12,948,1194,101733275
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,50s,M,2018-12,4030,6047,879301490
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,40s,F,2018-12,1390,1712,149290960
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,40s,M,2018-12,4601,6753,1087845622
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,30s,F,2018-12,1047,1304,83918573
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,30s,M,2018-12,2963,3965,486783855
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,Under_20,F,2018-12,42,63,2430900
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,Under_20,M,2018-12,69,93,4791510
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,20s,F,2018-12,1627,2274,101603580
Jeju-do,Jeju-si,Urban,Entertainment,Jeju_Resident,20s,M,2018-12,2401,3556,232900740
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,60s_and_above,F,2018-12,76,98,15906200
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,60s_and_above,M,2018-12,234,294,43076000
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,50s,F,2018-12,207,237,32006400
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,50s,M,2018-12,782,1052,177804380
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,40s,F,2018-12,220,256,27837373
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,40s,M,2018-12,913,1276,216974300
